statement,label,original_idx
Robert Moog lived in Austria/U.S.,0,229
Stephanie Kwolek invented the co-discovery of HIV.,0,727
Pierre Curie invented the modern chemical nomenclature.,0,167
Thomas Wedgwood lived in Finland.,0,356
Rudolf Diesel invented the microphone (carbon).,0,570
Ferdinand Carré lived in U.S.,0,63
Leon Theremin lived in Germany.,0,607
John Wesley Hyatt lived in U.K.,0,748
Sir Isaac Newton invented the celluloid.,0,708
Igor Tamm invented the Unimate (first industrial robot).,0,34
Guglielmo Marconi lived in U.K.,0,145
Frederick Walton lived in U.S.,0,4
Sir Charles Parsons invented the lightning rod.,0,565
John Callcott Horsley invented the programmable computer (Z3).,0,327
Elihu Thomson invented the traffic signal.,0,443
Richard Leach Maddox invented the blood types.,0,634
Josephine Cochrane invented the Audi automobile.,0,559
Sir Frank Whittle invented the tank.,0,30
Robert Chesebrough invented the roll film.,0,723
Edwin H. Land lived in Sweden.,0,87
Edwin Link lived in U.K.,0,32
Richard Trevithick invented the airplane.,0,707
Chester Carlson invented the programming language (theoretical).,0,871
Maria Telkes invented the ballpoint pen.,0,33
Georges Claude invented the various inventions and concepts (theoretical).,0,749
John Gorrie lived in Italy.,0,235
Robert Adler invented the spinning jenny.,0,314
Whitcomb Judson invented the safety pin.,0,718
Florence Parpart invented the trackball.,0,105
Samuel Morse lived in Germany.,0,140
Albert Ghiorso lived in U.K.,0,620
Henri Giffard invented the wrinkle-resistant fabric.,0,11
Igor Sikorsky invented the laser.,0,94
Jean-Bernard-Léon Foucault invented the piano roll (used in player pianos).,0,747
Charles Cros invented the electric washing machine.,0,71
John Ambrose Fleming lived in U.S.,0,555
George Pullman lived in U.K.,0,9
Vint Cerf lived in Italy.,0,715
Antoine Lavoisier lived in Austria.,0,645
Sergey Brin and Larry Page invented the DNA fingerprinting.,0,367
Joseph Glidden lived in Germany.,0,478
R. Buckminster Fuller lived in Scotland.,0,305
Elisha Gray lived in Austria/U.S.,0,768
Tim Berners-Lee lived in Germany.,0,479
Heinrich Göbel invented the Hall effect.,0,458
Nikolay Slavyanov lived in Stephanie.,0,175
James Dyson lived in Canada.,0,777
Joseph Aspdin lived in Switzerland.,0,205
Heinrich Hertz invented the internal combustion engine.,0,638
Johannes Gutenberg lived in U.K.,0,393
Arthur Fry lived in France.,0,640
James Starley invented the zipper.,0,211
Ralph Benjamin lived in Italy.,0,262
Ralph H. Baer invented the canning process.,0,618
Joseph Swan invented the alternating current (AC) electrical system.,0,404
Samuel Fox invented the liquefied gas refrigeration.,0,754
Henry Bessemer lived in U.S.,0,776
Elisha Otis lived in U.K.,0,561
Frederick McKinley Jones lived in Japan.,0,461
Hans von Ohain invented the deep learning (artificial neural networks).,0,81
Charles Strite lived in Italy.,0,557
John Ericsson lived in U.S.,0,504
Josephine Cochrane lived in Germany.,0,169
Evangelista Torricelli lived in U.S.,0,8
Carl Wilhelm Siemens lived in U.S.,0,781
Sergey Brin and Larry Page lived in U.K.,0,153
Hans Berger lived in U.S.,0,259
Hippolyte Mège-Mouriès lived in U.S.,0,325
Antoine Lavoisier invented the blood types.,0,770
Nicolas Appert invented the heterotransistor.,0,278
Edouard Benedictus lived in U.S.,0,377
Wilhelm Conrad Röntgen invented the discovery of Pluto.,0,357
Vint Cerf invented the radio.,0,37
Godfrey Hounsfield invented the electromagnetism discovery.,0,818
Joseph Glidden invented the jet engine.,0,466
Ferdinand von Zeppelin invented the piezoelectricity.,0,578
Willem Einthoven invented the frameless parachute.,0,726
Fridtjof Nansen lived in U.K.,0,80
Alexander Fleming lived in France.,0,318
Reginald Fessenden invented the electromagnetic field theory.,0,173
James Hargreaves lived in Sweden.,0,822
John T. Parsons invented the Pullman railroad sleeping car.,0,756
Édouard-Léon Scott de Martinville lived in U.K.,0,294
Charles Wheatstone invented the phonograph (independent inventor).,0,255
Rudolf Diesel lived in U.S.,0,43
Charles Tellier invented the penicillin discovery.,0,405
Valdemar Poulsen invented the mechanical television.,0,51
R. Buckminster Fuller invented the mechanical television.,0,639
Emile Berliner lived in Russia.,0,3
Auguste and Louis Lumière invented the canning process.,0,448
Lloyd Groff Copeman invented the electromagnetic waves discovery.,0,621
Charles Francis Richter lived in France.,0,267
Karl Landsteiner invented the waterproof fabric.,0,485
Daisuke Inoue invented the first home video game console.,0,389
Philipp Reis invented the Linux operating system.,0,415
Hippolyte Mège-Mouriès invented the mechanical refrigeration (ice-making machine).,0,189
Otis Boykin lived in France.,0,330
Louis Pasteur lived in U.S.,0,476
Clarence Birdseye invented the wireless remote control.,0,227
Shinya Yamanaka lived in Germany.,0,149
Ruth Handler invented the refracting telescope.,0,699
Chester Carlson lived in U.K.,0,35
Mary Phelps Jacob lived in Ukraine/U.S.,0,849
Charles Fritts invented the refrigeration unit for trucks.,0,762
Edwin H. Land invented the three-point seatbelt.,0,793
Yvonne Brill invented the electric wheelchair.,0,801
Fridtjof Nansen invented the early steam engine.,0,6
Louis Pasteur invented the vaccine jet injector.,0,29
Georges Claude lived in Italy.,0,349
Frank Bunker Gilbreth invented the Kirlian photography.,0,736
Kwolek invented the modern brassiere.,0,600
Carl Wilhelm Siemens invented the modern electric refrigerator.,0,225
George Devol invented the compression refrigeration.,0,228
Charles Goodyear invented the dry collodion photographic plate.,0,679
Thomas Edison invented the trackball.,0,467
David Edward Hughes invented the piano roll (used in player pianos).,0,530
John Shepherd-Barron invented the electric wheelchair.,0,725
Elisha Otis invented the tank.,0,341
Carl Elsener lived in U.S.,0,424
John Gorrie invented the piano.,0,168
Charles Francis Richter invented the liquefied gas refrigeration.,0,15
Percy Spencer invented the industrial robot.,0,209
John Walker lived in U.S.,0,441
Samuel Morse invented the electroencephalography (EEG).,0,319
Dr. Robert Gallo invented the arc welding.,0,60
Hedy Lamarr lived in U.S.,0,550
Yoshiro Nakamatsu lived in U.S.,0,400
Charles Macintosh lived in U.S.,0,585
Archimedes lived in U.S.,0,412
Ralph H. Baer lived in France.,0,642
Joseph Engelberger invented the discovery of Pluto.,0,529
Henry Ford invented the barbed wire.,0,743
Alfred Nobel invented the Band-Aid.,0,434
Jean-Bernard-Léon Foucault lived in U.S.,0,665
Charles Townes lived in Russia.,0,449
Carlos Glidden invented the ATM.,0,13
Sir Charles Parsons lived in U.S.,0,771
William Congreve lived in Canada.,0,5
William Congreve invented the snowmobile.,0,113
Edmund Cartwright lived in U.S.,0,839
Henry Bessemer invented the electret microphone.,0,701
Hedy Lamarr invented the Morse code.,0,416
John Bardeen invented the telegraph printer.,0,73
Frederick Walton invented the Liquid Paper.,0,14
Nils Bohlin lived in Germany.,0,358
George Cayley lived in Canada.,0,219
Alexander Fleming invented the airship (non-rigid).,0,455
Herbert Saffir lived in U.K.,0,54
Hans Lippershey invented the co-discovery of multiple elements.,0,310
Marvin Camras invented the airship (non-rigid).,0,576
Leonardo da Vinci lived in Poland/France.,0,215
Semyon Kirlian invented the friction match.,0,753
George Eastman lived in U.K.,0,92
Daisuke Inoue lived in U.S.,0,655
Charles Cros lived in U.S.,0,304
Hans Oersted invented the wireless remote control.,0,834
Joseph Henry invented the linoleum.,0,488
Guglielmo Marconi invented the Christmas card.,0,580
William Sturgeon lived in Germany.,0,462
Luther Simjian invented the Band-Aid.,0,505
Reginald Fessenden lived in U.K.,0,649
Frank Julian Sprague invented the electric traffic light.,0,494
André-Jacques Garnerin lived in Netherlands.,0,629
Narinder Singh Kapany invented the programming language (theoretical).,0,491
Frank Bunker Gilbreth lived in Russia.,0,654
Jacob Perkins invented the wrinkle-resistant fabric.,0,730
Alfred Nobel lived in U.S.,0,159
Joseph Marie Jacquard invented the electrocardiograph (ECG).,0,817
John Kay lived in U.S.,0,497
James Starley lived in Sweden/U.S.,0,507
Ada Lovelace invented the modern brassiere.,0,678
Luther George Simjian invented the modern polar exploration.,0,373
John Logie Baird invented the karaoke machine.,0,116
Gustaf Dalén invented the thermite process.,0,616
August Horch lived in Russia.,0,58
Hans Goldschmidt invented the refracting telescope.,0,299
Godfrey Hounsfield lived in Denmark.,0,170
Alec Jeffreys invented the phonograph (independent inventor).,0,543
Nicolas Appert lived in Russia.,0,522
Semyon Kirlian lived in U.K.,0,845
Joseph Henry lived in U.K.,0,625
Thomas Wedgwood invented the Linux operating system.,0,275
Philipp Reis lived in Finland.,0,787
Christian Huygens invented the ATM.,0,148
Luther Simjian lived in U.S.,0,850
Marie Curie invented the U.S.,0,177
Richard Gatling invented the flying shuttle.,0,103
Candace Pert invented the electric wheelchair.,0,512
James Watt invented the electric traffic light.,0,586
Lloyd Groff Copeman lived in Germany.,0,237
Alexander Graham Bell invented the Audi automobile.,0,16
Ami Argand lived in U.S.,0,628
Willem Einthoven lived in France.,0,342
Maria Telkes lived in Hungary.,0,398
Kwolek lived in U.S.,0,269
James Clerk Maxwell lived in U.S.,0,110
Robert Noyce invented the Unimate (first industrial robot).,0,440
Richard Leach Maddox lived in Austria.,0,300
Sir Humphry Davy invented the light bulb.,0,659
Grace Hopper invented the programming language (theoretical).,0,667
Benjamin Holt invented the Barbie doll.,0,333
Fritz Pfleumer lived in Canada/U.S.,0,513
