statement,label,n1,n2,diff,abs_diff
Seventy-three is larger than sixty-eight.,1,73,68,5,5
Seventy-three is larger than sixty-nine.,1,73,69,4,4
Seventy-three is larger than seventy-one.,1,73,71,2,2
Seventy-three is larger than seventy-two.,1,73,72,1,1
Seventy-three is larger than seventy-four.,0,73,74,-1,1
Seventy-three is larger than seventy-five.,0,73,75,-2,2
Seventy-three is larger than seventy-six.,0,73,76,-3,3
Seventy-three is larger than seventy-seven.,0,73,77,-4,4
Seventy-three is larger than seventy-eight.,0,73,78,-5,5
Seventy-three is larger than seventy-nine.,0,73,79,-6,6
Seventy-three is larger than eighty-one.,0,73,81,-8,8
Seventy-three is larger than eighty-two.,0,73,82,-9,9
Seventy-three is larger than eighty-three.,0,73,83,-10,10
Seventy-three is larger than eighty-four.,0,73,84,-11,11
Seventy-three is larger than eighty-five.,0,73,85,-12,12
Seventy-three is larger than eighty-six.,0,73,86,-13,13
Seventy-three is larger than eighty-seven.,0,73,87,-14,14
Seventy-three is larger than eighty-eight.,0,73,88,-15,15
Seventy-three is larger than eighty-nine.,0,73,89,-16,16
Seventy-three is larger than ninety-one.,0,73,91,-18,18
Seventy-three is larger than ninety-two.,0,73,92,-19,19
Seventy-three is larger than ninety-three.,0,73,93,-20,20
Seventy-three is larger than ninety-four.,0,73,94,-21,21
Seventy-three is larger than ninety-five.,0,73,95,-22,22
Seventy-three is larger than ninety-six.,0,73,96,-23,23
Seventy-three is larger than ninety-seven.,0,73,97,-24,24
Seventy-three is larger than ninety-eight.,0,73,98,-25,25
Seventy-three is larger than ninety-nine.,0,73,99,-26,26
Seventy-four is larger than fifty-one.,1,74,51,23,23
Seventy-four is larger than fifty-two.,1,74,52,22,22
Seventy-four is larger than fifty-three.,1,74,53,21,21
Seventy-four is larger than fifty-four.,1,74,54,20,20
Seventy-four is larger than fifty-five.,1,74,55,19,19
Seventy-four is larger than fifty-six.,1,74,56,18,18
Seventy-four is larger than fifty-seven.,1,74,57,17,17
Seventy-four is larger than fifty-eight.,1,74,58,16,16
Seventy-four is larger than fifty-nine.,1,74,59,15,15
Seventy-four is larger than sixty-one.,1,74,61,13,13
Seventy-four is larger than sixty-two.,1,74,62,12,12
Seventy-four is larger than sixty-three.,1,74,63,11,11
Seventy-four is larger than sixty-four.,1,74,64,10,10
Seventy-four is larger than sixty-five.,1,74,65,9,9
Seventy-four is larger than sixty-six.,1,74,66,8,8
Seventy-four is larger than sixty-seven.,1,74,67,7,7
Seventy-four is larger than sixty-eight.,1,74,68,6,6
Seventy-four is larger than sixty-nine.,1,74,69,5,5
Seventy-four is larger than seventy-one.,1,74,71,3,3
Seventy-four is larger than seventy-two.,1,74,72,2,2
Seventy-four is larger than seventy-three.,1,74,73,1,1
Seventy-four is larger than seventy-five.,0,74,75,-1,1
Seventy-four is larger than seventy-six.,0,74,76,-2,2
Seventy-four is larger than seventy-seven.,0,74,77,-3,3
Seventy-four is larger than seventy-eight.,0,74,78,-4,4
Seventy-four is larger than seventy-nine.,0,74,79,-5,5
Seventy-four is larger than eighty-one.,0,74,81,-7,7
Seventy-four is larger than eighty-two.,0,74,82,-8,8
Seventy-four is larger than eighty-three.,0,74,83,-9,9
Seventy-four is larger than eighty-four.,0,74,84,-10,10
Seventy-four is larger than eighty-five.,0,74,85,-11,11
Seventy-four is larger than eighty-six.,0,74,86,-12,12
Seventy-four is larger than eighty-seven.,0,74,87,-13,13
Seventy-four is larger than eighty-eight.,0,74,88,-14,14
Seventy-four is larger than eighty-nine.,0,74,89,-15,15
Seventy-four is larger than ninety-one.,0,74,91,-17,17
Seventy-four is larger than ninety-two.,0,74,92,-18,18
Seventy-four is larger than ninety-three.,0,74,93,-19,19
Seventy-four is larger than ninety-four.,0,74,94,-20,20
Seventy-four is larger than ninety-five.,0,74,95,-21,21
Seventy-four is larger than ninety-six.,0,74,96,-22,22
Seventy-four is larger than ninety-seven.,0,74,97,-23,23
Seventy-four is larger than ninety-eight.,0,74,98,-24,24
Seventy-four is larger than ninety-nine.,0,74,99,-25,25
Seventy-five is larger than fifty-one.,1,75,51,24,24
Seventy-five is larger than fifty-two.,1,75,52,23,23
Seventy-five is larger than fifty-three.,1,75,53,22,22
Seventy-five is larger than fifty-four.,1,75,54,21,21
Seventy-five is larger than fifty-five.,1,75,55,20,20
Seventy-five is larger than fifty-six.,1,75,56,19,19
Seventy-five is larger than fifty-seven.,1,75,57,18,18
Seventy-five is larger than fifty-eight.,1,75,58,17,17
Seventy-five is larger than fifty-nine.,1,75,59,16,16
Seventy-five is larger than sixty-one.,1,75,61,14,14
Seventy-five is larger than sixty-two.,1,75,62,13,13
Seventy-five is larger than sixty-three.,1,75,63,12,12
Seventy-five is larger than sixty-four.,1,75,64,11,11
Seventy-five is larger than sixty-five.,1,75,65,10,10
Seventy-five is larger than sixty-six.,1,75,66,9,9
Seventy-five is larger than sixty-seven.,1,75,67,8,8
Seventy-five is larger than sixty-eight.,1,75,68,7,7
Seventy-five is larger than sixty-nine.,1,75,69,6,6
Seventy-five is larger than seventy-one.,1,75,71,4,4
Seventy-five is larger than seventy-two.,1,75,72,3,3
Seventy-five is larger than seventy-three.,1,75,73,2,2
Seventy-five is larger than seventy-four.,1,75,74,1,1
Seventy-five is larger than seventy-six.,0,75,76,-1,1
Seventy-five is larger than seventy-seven.,0,75,77,-2,2
Seventy-five is larger than seventy-eight.,0,75,78,-3,3
Seventy-five is larger than seventy-nine.,0,75,79,-4,4
Seventy-five is larger than eighty-one.,0,75,81,-6,6
Seventy-five is larger than eighty-two.,0,75,82,-7,7
Seventy-five is larger than eighty-three.,0,75,83,-8,8
Seventy-five is larger than eighty-four.,0,75,84,-9,9
Eighty-one is larger than sixty-two.,1,81,62,19,19
Eighty-one is larger than sixty-three.,1,81,63,18,18
Eighty-one is larger than sixty-four.,1,81,64,17,17
Eighty-one is larger than sixty-five.,1,81,65,16,16
Eighty-one is larger than sixty-six.,1,81,66,15,15
Eighty-one is larger than sixty-seven.,1,81,67,14,14
Eighty-one is larger than sixty-eight.,1,81,68,13,13
Eighty-one is larger than sixty-nine.,1,81,69,12,12
Eighty-one is larger than seventy-one.,1,81,71,10,10
Eighty-one is larger than seventy-two.,1,81,72,9,9
Eighty-one is larger than seventy-three.,1,81,73,8,8
Eighty-one is larger than seventy-four.,1,81,74,7,7
Eighty-one is larger than seventy-five.,1,81,75,6,6
Eighty-one is larger than seventy-six.,1,81,76,5,5
Eighty-one is larger than seventy-seven.,1,81,77,4,4
Eighty-one is larger than seventy-eight.,1,81,78,3,3
Eighty-one is larger than seventy-nine.,1,81,79,2,2
Eighty-one is larger than eighty-two.,0,81,82,-1,1
Eighty-one is larger than eighty-three.,0,81,83,-2,2
Eighty-one is larger than eighty-four.,0,81,84,-3,3
Eighty-one is larger than eighty-five.,0,81,85,-4,4
Eighty-one is larger than eighty-six.,0,81,86,-5,5
Eighty-one is larger than eighty-seven.,0,81,87,-6,6
Eighty-one is larger than eighty-eight.,0,81,88,-7,7
Eighty-one is larger than eighty-nine.,0,81,89,-8,8
Eighty-one is larger than ninety-one.,0,81,91,-10,10
Eighty-one is larger than ninety-two.,0,81,92,-11,11
Eighty-one is larger than ninety-three.,0,81,93,-12,12
Eighty-one is larger than ninety-four.,0,81,94,-13,13
Eighty-one is larger than ninety-five.,0,81,95,-14,14
Eighty-one is larger than ninety-six.,0,81,96,-15,15
Eighty-one is larger than ninety-seven.,0,81,97,-16,16
Eighty-one is larger than ninety-eight.,0,81,98,-17,17
Eighty-one is larger than ninety-nine.,0,81,99,-18,18
Eighty-two is larger than fifty-one.,1,82,51,31,31
Eighty-two is larger than fifty-two.,1,82,52,30,30
Eighty-two is larger than fifty-three.,1,82,53,29,29
Eighty-two is larger than fifty-four.,1,82,54,28,28
Eighty-two is larger than fifty-five.,1,82,55,27,27
Eighty-two is larger than fifty-six.,1,82,56,26,26
Eighty-two is larger than fifty-seven.,1,82,57,25,25
Eighty-two is larger than fifty-eight.,1,82,58,24,24
Eighty-two is larger than fifty-nine.,1,82,59,23,23
Eighty-two is larger than sixty-one.,1,82,61,21,21
Eighty-two is larger than sixty-two.,1,82,62,20,20
Eighty-two is larger than sixty-three.,1,82,63,19,19
Eighty-two is larger than sixty-four.,1,82,64,18,18
Eighty-two is larger than sixty-five.,1,82,65,17,17
Eighty-two is larger than sixty-six.,1,82,66,16,16
Eighty-two is larger than sixty-seven.,1,82,67,15,15
Eighty-two is larger than sixty-eight.,1,82,68,14,14
Eighty-two is larger than sixty-nine.,1,82,69,13,13
Eighty-two is larger than seventy-one.,1,82,71,11,11
Eighty-two is larger than seventy-two.,1,82,72,10,10
Eighty-two is larger than seventy-three.,1,82,73,9,9
Eighty-two is larger than seventy-four.,1,82,74,8,8
Eighty-two is larger than seventy-five.,1,82,75,7,7
Eighty-two is larger than seventy-six.,1,82,76,6,6
Eighty-two is larger than seventy-seven.,1,82,77,5,5
Eighty-two is larger than seventy-eight.,1,82,78,4,4
Eighty-two is larger than seventy-nine.,1,82,79,3,3
Eighty-two is larger than eighty-one.,1,82,81,1,1
Eighty-two is larger than eighty-three.,0,82,83,-1,1
Eighty-two is larger than eighty-four.,0,82,84,-2,2
Eighty-two is larger than eighty-five.,0,82,85,-3,3
Eighty-two is larger than eighty-six.,0,82,86,-4,4
Eighty-two is larger than eighty-seven.,0,82,87,-5,5
Eighty-two is larger than eighty-eight.,0,82,88,-6,6
Eighty-two is larger than eighty-nine.,0,82,89,-7,7
Eighty-two is larger than ninety-one.,0,82,91,-9,9
Eighty-two is larger than ninety-two.,0,82,92,-10,10
Eighty-two is larger than ninety-three.,0,82,93,-11,11
Eighty-two is larger than ninety-four.,0,82,94,-12,12
Eighty-two is larger than ninety-five.,0,82,95,-13,13
Eighty-two is larger than ninety-six.,0,82,96,-14,14
Eighty-two is larger than ninety-seven.,0,82,97,-15,15
Eighty-two is larger than ninety-eight.,0,82,98,-16,16
Eighty-two is larger than ninety-nine.,0,82,99,-17,17
Eighty-three is larger than fifty-one.,1,83,51,32,32
Eighty-three is larger than fifty-two.,1,83,52,31,31
Eighty-three is larger than fifty-three.,1,83,53,30,30
Eighty-three is larger than fifty-four.,1,83,54,29,29
Eighty-three is larger than fifty-five.,1,83,55,28,28
Eighty-three is larger than fifty-six.,1,83,56,27,27
Eighty-three is larger than fifty-seven.,1,83,57,26,26
Eighty-three is larger than fifty-eight.,1,83,58,25,25
Eighty-three is larger than fifty-nine.,1,83,59,24,24
Eighty-three is larger than sixty-one.,1,83,61,22,22
Eighty-three is larger than sixty-two.,1,83,62,21,21
Eighty-three is larger than sixty-three.,1,83,63,20,20
Eighty-three is larger than sixty-four.,1,83,64,19,19
Eighty-three is larger than sixty-five.,1,83,65,18,18
Eighty-three is larger than sixty-six.,1,83,66,17,17
Eighty-three is larger than sixty-seven.,1,83,67,16,16
Eighty-three is larger than sixty-eight.,1,83,68,15,15
Eighty-three is larger than sixty-nine.,1,83,69,14,14
Eighty-three is larger than seventy-one.,1,83,71,12,12
Eighty-three is larger than seventy-two.,1,83,72,11,11
Eighty-three is larger than seventy-three.,1,83,73,10,10
Eighty-three is larger than seventy-four.,1,83,74,9,9
Eighty-three is larger than seventy-five.,1,83,75,8,8
Eighty-three is larger than seventy-six.,1,83,76,7,7
Eighty-three is larger than seventy-seven.,1,83,77,6,6
Eighty-three is larger than seventy-eight.,1,83,78,5,5
Eighty-three is larger than seventy-nine.,1,83,79,4,4
Eighty-three is larger than eighty-one.,1,83,81,2,2
Eighty-three is larger than eighty-two.,1,83,82,1,1
Eighty-three is larger than eighty-four.,0,83,84,-1,1
Eighty-three is larger than eighty-five.,0,83,85,-2,2
Eighty-three is larger than eighty-six.,0,83,86,-3,3
Eighty-three is larger than eighty-seven.,0,83,87,-4,4
Eighty-three is larger than eighty-eight.,0,83,88,-5,5
Eighty-three is larger than eighty-nine.,0,83,89,-6,6
Eighty-three is larger than ninety-one.,0,83,91,-8,8
Eighty-three is larger than ninety-two.,0,83,92,-9,9
Eighty-three is larger than ninety-three.,0,83,93,-10,10
Eighty-three is larger than ninety-four.,0,83,94,-11,11
Eighty-three is larger than ninety-five.,0,83,95,-12,12
Eighty-three is larger than ninety-six.,0,83,96,-13,13
Eighty-three is larger than ninety-seven.,0,83,97,-14,14
Eighty-three is larger than ninety-eight.,0,83,98,-15,15
Eighty-three is larger than ninety-nine.,0,83,99,-16,16
Eighty-four is larger than fifty-one.,1,84,51,33,33
Eighty-four is larger than fifty-two.,1,84,52,32,32
Eighty-four is larger than fifty-three.,1,84,53,31,31
Eighty-four is larger than fifty-four.,1,84,54,30,30
Eighty-four is larger than fifty-five.,1,84,55,29,29
Eighty-four is larger than fifty-six.,1,84,56,28,28
Eighty-four is larger than fifty-seven.,1,84,57,27,27
Eighty-four is larger than fifty-eight.,1,84,58,26,26
Eighty-four is larger than fifty-nine.,1,84,59,25,25
Eighty-four is larger than sixty-one.,1,84,61,23,23
Eighty-four is larger than sixty-two.,1,84,62,22,22
Eighty-four is larger than sixty-three.,1,84,63,21,21
Eighty-four is larger than sixty-four.,1,84,64,20,20
Eighty-four is larger than sixty-five.,1,84,65,19,19
Eighty-four is larger than sixty-six.,1,84,66,18,18
Eighty-four is larger than sixty-seven.,1,84,67,17,17
Eighty-four is larger than sixty-eight.,1,84,68,16,16
Eighty-four is larger than sixty-nine.,1,84,69,15,15
Eighty-four is larger than seventy-one.,1,84,71,13,13
Eighty-four is larger than seventy-two.,1,84,72,12,12
Eighty-four is larger than seventy-three.,1,84,73,11,11
Eighty-four is larger than seventy-four.,1,84,74,10,10
Eighty-four is larger than seventy-five.,1,84,75,9,9
Eighty-four is larger than seventy-six.,1,84,76,8,8
Eighty-four is larger than seventy-seven.,1,84,77,7,7
Eighty-four is larger than seventy-eight.,1,84,78,6,6
Eighty-four is larger than seventy-nine.,1,84,79,5,5
Eighty-four is larger than eighty-one.,1,84,81,3,3
Eighty-four is larger than eighty-two.,1,84,82,2,2
Eighty-four is larger than eighty-three.,1,84,83,1,1
Eighty-four is larger than eighty-five.,0,84,85,-1,1
Eighty-four is larger than eighty-six.,0,84,86,-2,2
Eighty-four is larger than eighty-seven.,0,84,87,-3,3
Eighty-four is larger than eighty-eight.,0,84,88,-4,4
Eighty-four is larger than eighty-nine.,0,84,89,-5,5
Eighty-four is larger than ninety-one.,0,84,91,-7,7
Eighty-four is larger than ninety-two.,0,84,92,-8,8
Eighty-four is larger than ninety-three.,0,84,93,-9,9
Eighty-four is larger than ninety-four.,0,84,94,-10,10
Eighty-four is larger than ninety-five.,0,84,95,-11,11
Eighty-four is larger than ninety-six.,0,84,96,-12,12
Eighty-four is larger than ninety-seven.,0,84,97,-13,13
Eighty-four is larger than ninety-eight.,0,84,98,-14,14
Eighty-four is larger than ninety-nine.,0,84,99,-15,15
Eighty-five is larger than fifty-one.,1,85,51,34,34
Eighty-five is larger than fifty-two.,1,85,52,33,33
Eighty-five is larger than fifty-three.,1,85,53,32,32
Eighty-five is larger than fifty-four.,1,85,54,31,31
Eighty-five is larger than fifty-five.,1,85,55,30,30
Eighty-five is larger than fifty-six.,1,85,56,29,29
Eighty-five is larger than fifty-seven.,1,85,57,28,28
Eighty-five is larger than fifty-eight.,1,85,58,27,27
Eighty-five is larger than fifty-nine.,1,85,59,26,26
Eighty-five is larger than sixty-one.,1,85,61,24,24
Eighty-five is larger than sixty-two.,1,85,62,23,23
Eighty-five is larger than sixty-three.,1,85,63,22,22
Eighty-five is larger than sixty-four.,1,85,64,21,21
Eighty-five is larger than sixty-five.,1,85,65,20,20
Eighty-five is larger than sixty-six.,1,85,66,19,19
Eighty-five is larger than sixty-seven.,1,85,67,18,18
Eighty-five is larger than sixty-eight.,1,85,68,17,17
Eighty-five is larger than sixty-nine.,1,85,69,16,16
Eighty-five is larger than seventy-one.,1,85,71,14,14
Eighty-five is larger than seventy-two.,1,85,72,13,13
Eighty-five is larger than seventy-three.,1,85,73,12,12
Eighty-five is larger than seventy-four.,1,85,74,11,11
Eighty-five is larger than seventy-five.,1,85,75,10,10
Eighty-five is larger than seventy-six.,1,85,76,9,9
Eighty-five is larger than seventy-seven.,1,85,77,8,8
Eighty-five is larger than seventy-eight.,1,85,78,7,7
Eighty-five is larger than seventy-nine.,1,85,79,6,6
Eighty-five is larger than eighty-one.,1,85,81,4,4
Eighty-five is larger than eighty-two.,1,85,82,3,3
Eighty-five is larger than eighty-three.,1,85,83,2,2
Eighty-five is larger than eighty-four.,1,85,84,1,1
Eighty-five is larger than eighty-six.,0,85,86,-1,1
Eighty-five is larger than eighty-seven.,0,85,87,-2,2
Eighty-five is larger than eighty-eight.,0,85,88,-3,3
Ninety-one is larger than sixty-six.,1,91,66,25,25
Ninety-one is larger than sixty-seven.,1,91,67,24,24
Ninety-one is larger than sixty-eight.,1,91,68,23,23
Ninety-one is larger than sixty-nine.,1,91,69,22,22
Ninety-one is larger than seventy-one.,1,91,71,20,20
Ninety-one is larger than seventy-two.,1,91,72,19,19
Ninety-one is larger than seventy-three.,1,91,73,18,18
Ninety-one is larger than seventy-four.,1,91,74,17,17
Ninety-one is larger than seventy-five.,1,91,75,16,16
Ninety-one is larger than seventy-six.,1,91,76,15,15
Ninety-one is larger than seventy-seven.,1,91,77,14,14
Ninety-one is larger than seventy-eight.,1,91,78,13,13
Ninety-one is larger than seventy-nine.,1,91,79,12,12
Ninety-one is larger than eighty-one.,1,91,81,10,10
Ninety-one is larger than eighty-two.,1,91,82,9,9
Ninety-one is larger than eighty-three.,1,91,83,8,8
Ninety-one is larger than eighty-four.,1,91,84,7,7
Ninety-one is larger than eighty-five.,1,91,85,6,6
Ninety-one is larger than eighty-six.,1,91,86,5,5
Ninety-one is larger than eighty-seven.,1,91,87,4,4
Ninety-one is larger than eighty-eight.,1,91,88,3,3
Ninety-one is larger than eighty-nine.,1,91,89,2,2
Ninety-one is larger than ninety-two.,0,91,92,-1,1
Ninety-one is larger than ninety-three.,0,91,93,-2,2
Ninety-one is larger than ninety-four.,0,91,94,-3,3
Ninety-one is larger than ninety-five.,0,91,95,-4,4
Ninety-one is larger than ninety-six.,0,91,96,-5,5
Ninety-one is larger than ninety-seven.,0,91,97,-6,6
Ninety-one is larger than ninety-eight.,0,91,98,-7,7
Ninety-one is larger than ninety-nine.,0,91,99,-8,8
Ninety-two is larger than fifty-one.,1,92,51,41,41
Ninety-two is larger than fifty-two.,1,92,52,40,40
Ninety-two is larger than fifty-three.,1,92,53,39,39
Ninety-two is larger than fifty-four.,1,92,54,38,38
Ninety-two is larger than fifty-five.,1,92,55,37,37
Ninety-two is larger than fifty-six.,1,92,56,36,36
Ninety-two is larger than fifty-seven.,1,92,57,35,35
Ninety-two is larger than fifty-eight.,1,92,58,34,34
Ninety-two is larger than fifty-nine.,1,92,59,33,33
Ninety-two is larger than sixty-one.,1,92,61,31,31
Ninety-two is larger than sixty-two.,1,92,62,30,30
Ninety-two is larger than sixty-three.,1,92,63,29,29
Ninety-two is larger than sixty-four.,1,92,64,28,28
Ninety-two is larger than sixty-five.,1,92,65,27,27
Ninety-two is larger than sixty-six.,1,92,66,26,26
Ninety-two is larger than sixty-seven.,1,92,67,25,25
Ninety-two is larger than sixty-eight.,1,92,68,24,24
Ninety-two is larger than sixty-nine.,1,92,69,23,23
Ninety-two is larger than seventy-one.,1,92,71,21,21
Ninety-two is larger than seventy-two.,1,92,72,20,20
Ninety-two is larger than seventy-three.,1,92,73,19,19
Ninety-two is larger than seventy-four.,1,92,74,18,18
Ninety-two is larger than seventy-five.,1,92,75,17,17
Ninety-two is larger than seventy-six.,1,92,76,16,16
Ninety-two is larger than seventy-seven.,1,92,77,15,15
Ninety-two is larger than seventy-eight.,1,92,78,14,14
Ninety-two is larger than seventy-nine.,1,92,79,13,13
Ninety-two is larger than eighty-one.,1,92,81,11,11
Ninety-two is larger than eighty-two.,1,92,82,10,10
Ninety-two is larger than eighty-three.,1,92,83,9,9
Ninety-two is larger than eighty-four.,1,92,84,8,8
Ninety-two is larger than eighty-five.,1,92,85,7,7
Ninety-two is larger than eighty-six.,1,92,86,6,6
Ninety-two is larger than eighty-seven.,1,92,87,5,5
Ninety-two is larger than eighty-eight.,1,92,88,4,4
Ninety-two is larger than eighty-nine.,1,92,89,3,3
Ninety-two is larger than ninety-one.,1,92,91,1,1
Ninety-two is larger than ninety-three.,0,92,93,-1,1
Ninety-two is larger than ninety-four.,0,92,94,-2,2
Ninety-two is larger than ninety-five.,0,92,95,-3,3
Ninety-two is larger than ninety-six.,0,92,96,-4,4
Ninety-two is larger than ninety-seven.,0,92,97,-5,5
Ninety-two is larger than ninety-eight.,0,92,98,-6,6
Ninety-two is larger than ninety-nine.,0,92,99,-7,7
Ninety-three is larger than fifty-one.,1,93,51,42,42
Ninety-three is larger than fifty-two.,1,93,52,41,41
Ninety-three is larger than fifty-three.,1,93,53,40,40
Ninety-three is larger than fifty-four.,1,93,54,39,39
Ninety-three is larger than fifty-five.,1,93,55,38,38
Ninety-three is larger than fifty-six.,1,93,56,37,37
Ninety-three is larger than fifty-seven.,1,93,57,36,36
Ninety-three is larger than fifty-eight.,1,93,58,35,35
Ninety-three is larger than fifty-nine.,1,93,59,34,34
Ninety-three is larger than sixty-one.,1,93,61,32,32
Ninety-three is larger than sixty-two.,1,93,62,31,31
Ninety-three is larger than sixty-three.,1,93,63,30,30
Ninety-three is larger than sixty-four.,1,93,64,29,29
Ninety-three is larger than sixty-five.,1,93,65,28,28
Ninety-three is larger than sixty-six.,1,93,66,27,27
Ninety-three is larger than sixty-seven.,1,93,67,26,26
Ninety-three is larger than sixty-eight.,1,93,68,25,25
Ninety-three is larger than sixty-nine.,1,93,69,24,24
Ninety-three is larger than seventy-one.,1,93,71,22,22
Ninety-three is larger than seventy-two.,1,93,72,21,21
Ninety-three is larger than seventy-three.,1,93,73,20,20
Ninety-three is larger than seventy-four.,1,93,74,19,19
Ninety-three is larger than seventy-five.,1,93,75,18,18
Ninety-three is larger than seventy-six.,1,93,76,17,17
Ninety-three is larger than seventy-seven.,1,93,77,16,16
Ninety-three is larger than seventy-eight.,1,93,78,15,15
Ninety-three is larger than seventy-nine.,1,93,79,14,14
Ninety-three is larger than eighty-one.,1,93,81,12,12
Ninety-three is larger than eighty-two.,1,93,82,11,11
Ninety-three is larger than eighty-three.,1,93,83,10,10
Ninety-three is larger than eighty-four.,1,93,84,9,9
Ninety-three is larger than eighty-five.,1,93,85,8,8
Ninety-three is larger than eighty-six.,1,93,86,7,7
Ninety-three is larger than eighty-seven.,1,93,87,6,6
Ninety-three is larger than eighty-eight.,1,93,88,5,5
Ninety-three is larger than eighty-nine.,1,93,89,4,4
Ninety-three is larger than ninety-one.,1,93,91,2,2
Ninety-three is larger than ninety-two.,1,93,92,1,1
Ninety-three is larger than ninety-four.,0,93,94,-1,1
Ninety-three is larger than ninety-five.,0,93,95,-2,2
Ninety-three is larger than ninety-six.,0,93,96,-3,3
Ninety-three is larger than ninety-seven.,0,93,97,-4,4
Ninety-three is larger than ninety-eight.,0,93,98,-5,5
Ninety-three is larger than ninety-nine.,0,93,99,-6,6
Ninety-four is larger than fifty-one.,1,94,51,43,43
Ninety-four is larger than fifty-two.,1,94,52,42,42
Ninety-four is larger than fifty-three.,1,94,53,41,41
Ninety-four is larger than fifty-four.,1,94,54,40,40
Ninety-four is larger than fifty-five.,1,94,55,39,39
Ninety-four is larger than fifty-six.,1,94,56,38,38
Ninety-four is larger than fifty-seven.,1,94,57,37,37
Ninety-four is larger than fifty-eight.,1,94,58,36,36
Ninety-four is larger than fifty-nine.,1,94,59,35,35
Ninety-four is larger than sixty-one.,1,94,61,33,33
Ninety-four is larger than sixty-two.,1,94,62,32,32
Ninety-four is larger than sixty-three.,1,94,63,31,31
Ninety-four is larger than sixty-four.,1,94,64,30,30
Ninety-four is larger than sixty-five.,1,94,65,29,29
Ninety-four is larger than sixty-six.,1,94,66,28,28
Ninety-four is larger than sixty-seven.,1,94,67,27,27
Ninety-four is larger than sixty-eight.,1,94,68,26,26
Ninety-four is larger than sixty-nine.,1,94,69,25,25
Ninety-four is larger than seventy-one.,1,94,71,23,23
Ninety-four is larger than seventy-two.,1,94,72,22,22
Ninety-four is larger than seventy-three.,1,94,73,21,21
Ninety-four is larger than seventy-four.,1,94,74,20,20
Ninety-four is larger than seventy-five.,1,94,75,19,19
Ninety-four is larger than seventy-six.,1,94,76,18,18
Ninety-four is larger than seventy-seven.,1,94,77,17,17
Ninety-four is larger than seventy-eight.,1,94,78,16,16
Ninety-four is larger than seventy-nine.,1,94,79,15,15
Ninety-four is larger than eighty-one.,1,94,81,13,13
Ninety-four is larger than eighty-two.,1,94,82,12,12
Ninety-four is larger than eighty-three.,1,94,83,11,11
Ninety-four is larger than eighty-four.,1,94,84,10,10
Ninety-four is larger than eighty-five.,1,94,85,9,9
Ninety-four is larger than eighty-six.,1,94,86,8,8
Ninety-four is larger than eighty-seven.,1,94,87,7,7
Ninety-four is larger than eighty-eight.,1,94,88,6,6
Ninety-four is larger than eighty-nine.,1,94,89,5,5
Ninety-four is larger than ninety-one.,1,94,91,3,3
Ninety-four is larger than ninety-two.,1,94,92,2,2
Ninety-four is larger than ninety-three.,1,94,93,1,1
Ninety-four is larger than ninety-five.,0,94,95,-1,1
Ninety-four is larger than ninety-six.,0,94,96,-2,2
Ninety-four is larger than ninety-seven.,0,94,97,-3,3
Ninety-four is larger than ninety-eight.,0,94,98,-4,4
Ninety-four is larger than ninety-nine.,0,94,99,-5,5
Ninety-five is larger than fifty-one.,1,95,51,44,44
Ninety-five is larger than fifty-two.,1,95,52,43,43
Ninety-five is larger than fifty-three.,1,95,53,42,42
Ninety-five is larger than fifty-four.,1,95,54,41,41
Ninety-five is larger than fifty-five.,1,95,55,40,40
Ninety-five is larger than fifty-six.,1,95,56,39,39
Ninety-five is larger than fifty-seven.,1,95,57,38,38
Ninety-five is larger than fifty-eight.,1,95,58,37,37
Ninety-five is larger than fifty-nine.,1,95,59,36,36
Ninety-five is larger than sixty-one.,1,95,61,34,34
Ninety-five is larger than sixty-two.,1,95,62,33,33
Ninety-five is larger than sixty-three.,1,95,63,32,32
Ninety-five is larger than sixty-four.,1,95,64,31,31
Ninety-five is larger than sixty-five.,1,95,65,30,30
Ninety-five is larger than sixty-six.,1,95,66,29,29
Ninety-five is larger than sixty-seven.,1,95,67,28,28
Ninety-five is larger than sixty-eight.,1,95,68,27,27
Ninety-five is larger than sixty-nine.,1,95,69,26,26
Ninety-five is larger than seventy-one.,1,95,71,24,24
Ninety-five is larger than seventy-two.,1,95,72,23,23
Ninety-five is larger than seventy-three.,1,95,73,22,22
Ninety-five is larger than seventy-four.,1,95,74,21,21
Ninety-five is larger than seventy-five.,1,95,75,20,20
Ninety-five is larger than seventy-six.,1,95,76,19,19
Ninety-five is larger than seventy-seven.,1,95,77,18,18
Ninety-five is larger than seventy-eight.,1,95,78,17,17
Ninety-five is larger than seventy-nine.,1,95,79,16,16
Ninety-five is larger than eighty-one.,1,95,81,14,14
Ninety-five is larger than eighty-two.,1,95,82,13,13
Ninety-five is larger than eighty-three.,1,95,83,12,12
Ninety-five is larger than eighty-four.,1,95,84,11,11
Ninety-five is larger than eighty-five.,1,95,85,10,10
Ninety-five is larger than eighty-six.,1,95,86,9,9
Ninety-five is larger than eighty-seven.,1,95,87,8,8
Ninety-five is larger than eighty-eight.,1,95,88,7,7
Ninety-five is larger than eighty-nine.,1,95,89,6,6
Ninety-five is larger than ninety-one.,1,95,91,4,4
Ninety-five is larger than ninety-two.,1,95,92,3,3
Ninety-five is larger than ninety-three.,1,95,93,2,2
Ninety-five is larger than ninety-four.,1,95,94,1,1
