,statement,label
782,"Phosphorus is essential for life and is a component of ATP, DNA, and RNA.",1
165,Chromium is used in stainless steel and as a decorative plating.,1
273,Tellurium is in the Alkali metal group.,0
598,Protactinium has the atomic number of 66.,0
206,Lanthanum has the atomic number of 17.,0
380,Selenium has the symbol Na.,0
672,Silicon has the symbol Si.,1
556,Oxygen has the symbol Ne.,0
191,Lutetium is in the Transition metal group.,0
720,Palladium is in the Transition metal group.,1
277,Selenium is used in lasers and magnetic refrigeration.,0
85,Cesium is used in atomic clocks and as a catalyst.,1
531,Gallium is in the Transition metal group.,0
61,Rhodium appears in its standard state as Gas.,0
819,Mercury appears in its standard state as Solid.,0
340,Dysprosium has the atomic number of 60.,0
59,Chromium appears in its standard state as Gas.,0
226,Rhenium has the symbol Tm.,0
66,Iodine has the atomic number of 47.,0
917,Lead has the symbol Pb.,1
485,Thulium has the atomic number of 64.,0
520,Copper appears in its standard state as Solid.,1
912,Radon has the symbol H.,0
479,Iridium appears in its standard state as Gas.,0
415,Radon appears in its standard state as Solid.,0
648,Indium appears in its standard state as Solid.,1
897,Terbium is used in touchscreens and some semiconductors.,0
833,Silver appears in its standard state as Solid.,1
271,Arsenic appears in its standard state as Liquid.,0
444,Barium appears in its standard state as Solid.,1
622,Antimony is used in flame retardants and some semiconductors.,1
739,Molybdenum has the atomic number of 42.,1
15,Iron is the most abundant element on Earth by mass and is essential for blood oxygen transport.,1
746,Technetium has the symbol Tc.,1
294,Copper has the atomic number of 50.,0
17,Magnesium is used in the production of glass and ceramics.,0
384,Ytterbium has the symbol Mo.,0
623,Thallium has the symbol Sr.,0
926,Selenium appears in its standard state as Gas.,0
642,Oxygen is a noble gas used in lighting and medical imaging.,0
87,Terbium is in the Alkali metal group.,0
813,Cesium has the symbol Tc.,0
711,Astatine is in the Halogen group.,1
468,Cesium has the symbol Cs.,1
684,Cerium has the atomic number of 75.,0
724,Protactinium has the atomic number of 91.,1
128,Actinium is used in magnets and lasers.,0
757,Aluminum is in the Post-transition metal group.,1
138,Silver has the symbol Ag.,1
462,Vanadium is in the Transition metal group.,1
183,Promethium is used in flame retardants and as a fumigant.,0
650,Tin has the symbol Be.,0
44,"Gold is highly valued for its conductivity, malleability, and resistance to corrosion, used in electronics, jewelry, and dentistry.",1
583,Francium is a highly radioactive alkali metal with no practical applications due to its instability.,1
400,Indium has the symbol In.,1
72,Molybdenum has the symbol Np.,0
158,Potassium has the atomic number of 19.,1
461,Tantalum is used in capacitors and high-temperature alloys.,1
390,Lithium appears in its standard state as Solid.,1
562,Praseodymium has the symbol Sc.,0
162,Aluminum is used in MRI contrast agents and X-ray tubes.,0
549,Thallium has the atomic number of 81.,1
289,Neodymium has the atomic number of 60.,1
762,Yttrium appears in its standard state as Solid.,1
852,Thorium is a radioactive element used as a nuclear fuel in some reactors.,1
381,Rhodium appears in its standard state as Solid.,1
69,Potassium is in the Actinide group.,0
929,Polonium is used in powerful permanent magnets and lasers.,0
422,Arsenic is a toxic element used in pesticides and some alloys.,1
554,Selenium has the atomic number of 34.,1
305,Gadolinium appears in its standard state as Solid.,1
292,Tellurium has the atomic number of 52.,1
870,Neodymium has the atomic number of 93.,0
601,Gadolinium is used in flame retardants and as a fumigant.,0
123,Nickel appears in its standard state as Gas.,0
649,Cobalt has the atomic number of 72.,0
187,Aluminum has the atomic number of 13.,1
875,Astatine has the symbol Mg.,0
692,Cerium is in the Lanthanide group.,1
710,Zirconium appears in its standard state as Gas.,0
335,Bismuth appears in its standard state as Gas.,0
189,Chromium has the atomic number of 39.,0
701,Samarium is in the Transition metal group.,0
716,Aluminum has the symbol Al.,1
791,Rubidium appears in its standard state as Gas.,0
330,Thulium has the atomic number of 69.,1
310,Thorium has the atomic number of 78.,0
43,Beryllium has the symbol Be.,1
154,"Strontium is used in fireworks to produce a bright red color and in certain types of glass, such as CRT displays.",1
111,Titanium has the atomic number of 49.,0
609,Vanadium is used in the production of sulfuric acid and rubber vulcanization.,0
92,Strontium has the symbol Sr.,1
190,Phosphorus is in the Nonmetal group.,1
447,Radium is a highly radioactive element used in some heaters for space probes.,0
754,Polonium is a highly radioactive element used in some heaters for space probes.,1
470,Terbium has the atomic number of 65.,1
834,Neon is in the Noble gas group.,1
339,Strontium has the atomic number of 12.,0
295,Iridium has the atomic number of 56.,0
244,Bromine appears in its standard state as Solid.,0
576,Scandium has the symbol Rn.,0
483,Radium appears in its standard state as Solid.,1
449,Gallium has the symbol Cs.,0
284,Argon appears in its standard state as Gas.,1
153,Astatine appears in its standard state as Solid.,1
298,Fluorine is in the Transition metal group.,0
831,Yttrium is in the Transition metal group.,1
309,Francium appears in its standard state as Solid.,1
27,Holmium is used in lasers and magnetic refrigeration.,1
859,Polonium has the symbol Po.,1
558,Lutetium has the symbol Be.,0
524,Protactinium appears in its standard state as Solid.,1
630,Beryllium has the atomic number of 4.,1
877,Potassium appears in its standard state as Gas.,0
780,Osmium has the atomic number of 76.,1
428,Radon is in the Lanthanide group.,0
250,Osmium has the symbol Os.,1
73,Strontium has the symbol Sn.,0
344,Holmium has the symbol Ho.,1
911,Polonium is in the Metalloid group.,1
749,Terbium appears in its standard state as Gas.,0
323,Carbon has the atomic number of 71.,0
35,Actinium has the atomic number of 89.,1
530,Nitrogen has the symbol La.,0
905,Cesium is a noble gas used in some lighting applications and window insulation.,0
828,Promethium is in the Lanthanide group.,1
687,Neptunium appears in its standard state as Gas.,0
591,Vanadium appears in its standard state as Gas.,0
378,Dysprosium is in the Lanthanide group.,1
8,Manganese appears in its standard state as Solid.,1
922,Radium has the symbol Ra.,1
313,Thorium has the atomic number of 90.,1
430,Yttrium is used in phosphors for CRT displays and LEDs.,1
744,Iron has the symbol Fe.,1
899,Nitrogen is in the Post-transition metal group.,0
338,Bromine has the atomic number of 64.,0
785,Copper has the symbol Ta.,0
799,Yttrium is a noble gas used in some lighting applications and window insulation.,0
779,Ruthenium has the atomic number of 62.,0
144,Gold is in the Transition metal group.,1
20,Cadmium is used in rechargeable batteries and as a pigment.,1
166,Neodymium appears in its standard state as Gas.,0
409,Oxygen has the atomic number of 8.,1
349,Molybdenum is in the Transition metal group.,1
79,Thulium is in the Lanthanide group.,1
365,Gold is the most reactive and electronegative element.,0
