,statement,label,original_idx
140,Fridtjof Nansen invented the modern polar exploration.,1,657
86,Wilhelm Conrad Röntgen invented the X-rays discovery.,1,25
706,Rudolf Diesel lived in U.S.,0,43
711,Auguste and Louis Lumière invented the canning process.,0,448
610,George de Mestral lived in Canada.,0,769
23,André-Jacques Garnerin invented the frameless parachute.,1,108
182,Cai Lun invented the papermaking process.,1,810
194,Charles Macintosh invented the waterproof fabric.,1,265
119,Charles Fritts lived in U.S.,1,67
168,John von Neumann lived in Hungary/U.S.,1,220
715,Daisuke Inoue invented the first home video game console.,0,389
523,Alec Jeffreys lived in France.,0,380
214,Stephanie Kwolek invented the Kevlar.,1,739
122,Charles Macintosh lived in U.K.,1,286
111,Evangelista Torricelli lived in Italy.,1,676
85,Eli Whitney invented the cotton gin.,1,554
504,Ruth Handler lived in Netherlands.,0,156
352,George de Mestral invented the velcro.,1,134
147,Yoshiro Nakamatsu invented the floppy disk.,1,128
683,John Ericsson lived in U.S.,0,504
656,Charles Cros invented the electric washing machine.,0,71
21,Lester Wire invented the electric traffic light.,1,188
524,Frederick G. Creed lived in Sweden.,0,317
645,Maria Telkes invented the ballpoint pen.,0,33
366,John Harrison lived in U.K.,1,501
755,Jean-Bernard-Léon Foucault lived in U.S.,0,665
77,Antoine Lavoisier lived in France.,1,181
141,Chester Carlson invented the xerography.,1,567
84,Robert Adler invented the ultrasonic remote control.,1,824
569,Biruté Galdikas invented the pasteurization.,0,792
132,Valdemar Poulsen lived in Denmark.,1,251
410,Bartolomeo Cristofori lived in Italy.,1,315
820,Sir Humphry Davy invented the light bulb.,0,659
196,Bette Nesmith Graham invented the Liquid Paper.,1,790
564,Samuel Fox lived in France.,0,613
625,Thomas Wedgwood lived in Finland.,0,356
705,Charles Wheatstone invented the phonograph (independent inventor).,0,255
492,Alessandro Volta lived in U.S.,0,631
298,Nikolay Slavyanov invented the shielded metal arc welding.,1,419
584,John Harrison invented the steel ribbed umbrella.,0,633
472,Charles Strite invented the various inventions and concepts (theoretical).,0,313
646,Georges Claude invented the various inventions and concepts (theoretical).,0,749
665,Tim Berners-Lee lived in Germany.,0,479
445,Thomas Tompion invented the electric generator.,0,409
766,Nils Bohlin lived in Germany.,0,358
753,Henry Ford invented the barbed wire.,0,743
97,Joseph Henry lived in U.S.,1,525
560,James Dyson invented the U.S.,0,658
252,Nicolas Appert invented the canning process.,1,289
737,David Edward Hughes invented the piano roll (used in player pianos).,0,530
411,James Dyson invented the bagless vacuum cleaner.,1,609
224,Robert Adler lived in Austria/U.S.,1,187
316,Konrad Zuse invented the programmable computer (Z3).,1,847
52,Richard Leach Maddox lived in U.K.,1,158
732,Kwolek invented the modern brassiere.,0,600
83,Charles Francis Richter invented the Richter scale.,1,688
777,Hans Oersted invented the wireless remote control.,0,834
230,John von Neumann invented the stored-program computer architecture.,1,846
482,William Sturgeon invented the programmable computer (Z3).,0,19
429,Ernesto Blanco invented the Gatling gun.,0,157
738,John Shepherd-Barron invented the electric wheelchair.,0,725
22,Mary Anderson invented the windshield wiper.,1,378
660,Antoine Lavoisier lived in Austria.,0,645
687,Sergey Brin and Larry Page lived in U.K.,0,153
189,Valdemar Poulsen invented the magnetic wire recorder.,1,214
300,Jacob Perkins invented the compression refrigeration.,1,765
663,R. Buckminster Fuller lived in Scotland.,0,305
745,Samuel Morse invented the electroencephalography (EEG).,0,319
671,Johannes Gutenberg lived in U.K.,0,393
246,Candace Pert invented the discovery of opiate receptor.,1,417
236,Blaise Pascal lived in France.,1,848
635,John Callcott Horsley invented the programmable computer (Z3).,0,327
604,László Bíró lived in U.S.,0,250
103,Willem Einthoven invented the electrocardiograph (ECG).,1,872
758,Sir Charles Parsons lived in U.S.,0,771
480,Mary Anderson invented the cotton gin.,0,483
35,Bette Nesmith Graham lived in U.S.,1,288
276,Yoshua Bengio lived in Canada.,1,62
791,James Starley lived in Sweden/U.S.,0,507
792,Ada Lovelace invented the modern brassiere.,0,678
353,Charles Cros lived in France.,1,309
118,Alan Turing lived in U.K.,1,241
567,Christopher Cockerell lived in France.,0,711
314,George Washington Carver lived in U.S.,1,109
529,Nikola Tesla invented the electromagnetic waves discovery.,0,107
313,Edwin Herbert Hall invented the Hall effect.,1,539
537,Philo Taylor Farnsworth invented the mechanical refrigeration (ice-making machine).,0,731
666,Heinrich Göbel invented the Hall effect.,0,458
578,Nikola Tesla lived in Germany.,0,741
381,George Devol invented the Unimate (first industrial robot).,1,10
532,Walter Hunt invented the traffic signal.,0,147
678,Henry Bessemer lived in U.S.,0,776
506,Linus Torvalds lived in Stephanie.,0,875
451,Shinya Yamanaka invented the Siemens regenerative furnace.,0,821
135,Karl Benz lived in Germany.,1,579
258,Clyde Tombaugh lived in U.S.,1,515
512,Alan Turing invented the power loom.,0,141
452,Alva J. Fisher invented the integrated circuit.,0,431
707,Charles Tellier invented the penicillin discovery.,0,405
339,Otis Boykin invented the improved electrical resistor.,1,763
30,Ralph Benjamin lived in U.K.,1,481
405,John Boyd Dunlop invented the pneumatic bicycle tire.,1,307
48,Rudolf Kálmán lived in Hungary.,1,66
145,Fritz Pfleumer invented the magnetic tape.,1,350
359,Marie Curie lived in Poland/France.,1,498
771,Marvin Camras invented the airship (non-rigid).,0,576
420,Carl Sontheimer invented the Argand lamp.,0,101
294,Charles Babbage invented the analytical engine (mechanical computer).,1,297
71,Evangelista Torricelli invented the barometer.,1,870
344,George Pullman lived in U.S.,1,406
311,Daniel Fahrenheit lived in Poland/Germany.,1,829
318,Hans Berger invented the electroencephalography (EEG).,1,247
460,Wallace Carothers lived in Denmark.,0,721
695,Godfrey Hounsfield invented the electromagnetism discovery.,0,818
815,Maria Telkes lived in Hungary.,0,398
106,Wilhelm Conrad Röntgen lived in Germany.,1,668
164,Reginald Fessenden invented the amplitude modulation (AM) radio.,1,569
264,David Edward Hughes lived in U.S.,1,61
772,Leonardo da Vinci lived in Poland/France.,0,215
577,Heinrich Göbel lived in U.S.,0,495
821,Grace Hopper invented the programming language (theoretical).,0,667
790,John Kay lived in U.S.,0,497
143,Samuel Morse lived in U.S.,1,828
520,Karl Benz lived in U.S.,0,732
287,John Harrison invented the marine chronometer.,1,799
340,Charles Wheatstone invented the Wheatstone bridge.,1,0
